id,bot_id,question,answer,created_at,updated_at
12,7,Comment contacter Push CI ?,"Vous pouvez contacter Push via leur service client au +225 25 2000 9339, via WhatsApp au +225 07 49 71 71 71, ou via leur page Facebook Push CI.",2024-09-12 13:32:16,2024-09-12 13:32:16
13,7,Prix des cartes Virtuelle et Physique PUSH ?,"0 Fcfa pour la carte Virtuelle, 5 000 Fcfa pour la carte Physique.",2024-09-12 13:32:16,2024-09-12 13:32:16
14,7,Frais de retrait en Point de vente Push pour les cartes Virtuelle et Physique ?,0 Fcfa pour les deux cartes.,2024-09-12 13:32:16,2024-09-12 13:32:16
15,7,Frais de transfert de Push vers Push pour les cartes Virtuelle et Physique ?,0 Fcfa pour les deux cartes.,2024-09-12 13:32:16,2024-09-12 13:32:16
16,7,Frais d'achat de crédit téléphonique pour les cartes Virtuelle et Physique ?,0 Fcfa pour les deux cartes.,2024-09-12 13:32:16,2024-09-12 13:32:16
17,7,Frais de paiement TPE local (GIM UEMOA) pour les cartes Virtuelle et Physique ?,0 Fcfa pour les deux cartes.,2024-09-12 13:32:16,2024-09-12 13:32:16
18,7,Frais de paiement TPE/Internet International (VISA) pour la carte Virtuelle PUSH ?,180 Fcfa.,2024-09-12 13:32:16,2024-09-12 13:32:16
19,7,Frais de retrait DAB local (BNI) et GIM UEMOA pour la carte Physique PUSH ?,"0 Fcfa (BNI), 500 Fcfa (GIM UEMOA).",2024-09-12 13:32:16,2024-09-12 13:32:16
20,7,Frais de retrait DAB international (VISA) pour la carte Physique PUSH ?,180 Fcfa.,2024-09-12 13:32:16,2024-09-12 13:32:16
21,7,Frais de rechargement via dépôt d'espèces et virement bancaire ?,"0% + 100 Fcfa de frais de timbre pour dépôt d'espèces, 0% pour virement bancaire.",2024-09-12 13:32:16,2024-09-12 13:32:16
22,7,Frais de rechargement via Mobile Money et dépôt d'espèces en Point Push ?,"1% pour Mobile Money, 1% (minimum 200 Fcfa + 100 Fcfa de frais de timbre) pour dépôt en Point Push.",2024-09-12 13:32:16,2024-09-12 13:32:16
23,7,Frais de transfert de Push vers Mobile Money ?,"1,5%.",2024-09-12 13:32:16,2024-09-12 13:32:16
24,7,Frais mensuels pour les cartes Virtuelle et Physique PUSH ?,"0 Fcfa/mois pour la carte Virtuelle, 490 Fcfa/mois pour la carte Physique.",2024-09-12 13:32:16,2024-09-12 13:32:16
25,7,Frais de personnalisation et de livraison express pour la carte Physique PUSH ?,"1 000 Fcfa pour personnalisation, 1 000 Fcfa pour livraison express.",2024-09-12 13:32:16,2024-09-12 13:32:16
26,7,Frais de rejet pour fonds insuffisants et réinitialisation de code ?,"250 Fcfa pour rejet, 0 Fcfa pour réinitialisation.",2024-09-12 13:32:16,2024-09-12 13:32:16
27,7,Frais de réception de virement bancaire via RIB ?,0%.,2024-09-12 13:32:16,2024-09-12 13:32:16
28,7,Informations sur les opérations hors XOF ?,Un taux de change est applicable et consultable dans l'application. Les établissements tiers peuvent appliquer des frais supplémentaires.,2024-09-12 13:32:16,2024-09-12 13:32:16
29,7,Quels avantages offre la carte CCC pour les producteurs de cacao ?,"La carte CCC, en collaboration avec le Conseil Café Cacao, permet aux producteurs de cacao et de café de vendre leur récolte et de recevoir leur argent sur leur compte Push.",2024-09-12 13:32:16,2024-09-12 13:32:16
30,7,Quels services supplémentaires propose Push pour les utilisateurs du programme Push Business ?,Push offre des microcrédits aux utilisateurs du programme Push Business qui reçoivent leur salaire via Push Business.,2024-09-12 13:32:16,2024-09-12 13:32:16
31,7,Quels sont les avantages du RIB et du coffre proposés par Push ?,Push propose un RIB pour les transferts internationaux ainsi qu'une option coffre pour mettre de l'argent de côté.,2024-09-12 13:32:16,2024-09-12 13:32:16
32,7,Quelle est la promotion actuelle sur les cartes Push ?,"Push rembourse 1 000 Fcfa après chaque achat en ligne de 50 000 Fcfa, jusqu'à ce que le prix total de la carte soit remboursé après un achat cumulé de 250 000 Fcfa.",2024-09-12 13:32:16,2024-09-12 13:32:16
33,7,Que se passe-t-il après 3 essais infructueux avec ma carte Push ?,"Après 3 tentatives infructueuses, la carte sera automatiquement bloquée. Vous avez cependant la possibilité de la débloquer directement via l'application Push CI.",2024-09-12 13:32:16,2024-09-12 13:32:16
